price,address,bedrooms,bathrooms,postal_code
"$2,599,900",599 Spadina Rd,4,Not listed,M5P 2X1
"$1,999,999",61 Cameron St,6,Not listed,M5T 2H1
"$1,750,000",#106 -4750 Yonge St,Not listed,Not listed,Not listed
"$1,688,000",140 Bogert Ave,3,Not listed,M2N 1K8
"$1,520,000",150 Harlandale Avenue,4,Not listed,M2N 1P4
"$1,500,000",176 Beechgrove Dr,5,Not listed,M1E 3Z5
"$1,500,000",65 Dewlane Dr,4,Not listed,Not listed
"$1,450,000",16 Salisbury Ave,3,1,M4X 1C2
"$1,420,000",91 Westrose Ave,2,1,M8X 2A4
"$1,399,999",32 Vonda Ave,4,Not listed,M2N 5E9
"$1,355,990",100 Bartley Dr,6,Not listed,M4A 1C5
"$1,299,900",40 Cobham Cres,4,Not listed,M4A 1V6
"$1,299,000",Ph07-51 East Liberty St,3,Not listed,M6K 3P8
"$1,294,900",839c Oxford St,3,Not listed,M8Z 0B3
"$1,288,888",#Th#1 -62 Dan Leckie Way,4,Not listed,M5V 0K1
"$1,198,800",66 Clappison Blvd,4,Not listed,M1C 2G7
"$1,198,000",40 Monarchwood Cres,5,Not listed,M3A 1H4
"$879,000",419-12 Douro St,2,Not listed,M6K 0A1
"$869,000",#1606 -80 Western Battery Rd,2,Not listed,M6K 3S1
"$799,999",2304-980 Broadview Ave,2,Not listed,M4K 3Y1
"$799,900",#402 -90 Broadview Ave,2,1,M4M 3H3
"$765,000",#609 -28 Avondale Ave,2,Not listed,M2N 2T9
"$749,000",1210-75 The Donway W,2,Not listed,M3C 2E9
"$699,000",468 Scarborough Rd,2,Not listed,M4E 3N2
"$689,900",412-300 Manitoba St,2,1,M8Y 4G6
"$670,000",2405-170 Bayview Ave,Not listed,1,M5A 0M4
"$668,000",#417 -30 Roehampton Ave,2,1,M4P 0B9
"$650,000",#2708-30 Nelson St,Not listed,1,M5V 0H5
"$629,999",403-1000 King St,Not listed,1,M6K 3N1
"$629,000",506-741 Sheppard Ave W,2,1,M3H 0S9
"$599,990",#603 -30 Canterbury Pl,2,1,M2N 0B9
"$599,000",1004-225 Wellesley St E,Not listed,1,M4X 1X8
"$579,000",513-2799 Kingston Rd,2,1,M1M 1N1
"$575,000",#307 -5508 Yonge St,Not listed,1,M2N 5S2
"$565,000",#916 -181 Village Green Sq,2,1,M1S 0L3
"$559,000",315-50 George Butchart Dr,2,1,M3K 0C9
"$555,000",1209-39 Sherbourne St,Not listed,1,M5A 0L8
"$549,900",105-3000 Bathurst Street,Not listed,1,M6B 3B4
"$525,000",#2908 -36 Park Lawn Rd,Not listed,1,M8Y 3H8
"$519,000",#616 -65 East Liberty St,Not listed,1,M6K 3R2
"$499,999",816-80 Esther Lorrie Dr,Not listed,1,M9W 0C6
"$150,000",870 College St,Not listed,Not listed,M6K 3R4
"$3,200,000",103 Hill Cres,5,Not listed,M1M 1J7
"$1,849,900",60 Sorauren Ave,3,Not listed,M6R 2C7
"$1,699,000",417 Keele St,Not listed,Not listed,M6P 2K9
"$1,499,000",#26 -72 Jutland Rd,Not listed,Not listed,M8V 2H3
"$$7,888,000",21 Wimpole Dr,Not listed,Not listed,M2L 2L1
"$$2,995,000",148 Bessborough Dr,Not listed,Not listed,M4G 3J6
"$$2,595,000",12 Wilfrid Ave,Not listed,Not listed,M4S 2H9
"$$2,430,000",230 Cottingham St,Not listed,Not listed,M4V 1C6
"$$2,199,000",26 Tanager Ave,Not listed,Not listed,M4G 3R1
"$$2,195,000",316 Markham St,Not listed,Not listed,M6G 2K9
"$$1,900,000",#D -349 Royal York Rd E,Not listed,Not listed,M8Y 2R1
"$$1,399,900",24 Deekshill Dr,Not listed,Not listed,M1E 3R7
"$$1,275,000",9 Heslop Dr,Not listed,Not listed,M8W 4R2
"$$1,099,990",#104 -408 Browns Line,Not listed,Not listed,M8W 3I9
"$$1,095,000",#505 -38 Avoca Ave,Not listed,Not listed,M4T 2B9
"$$919,900",#1903 -88 Broadway Ave,Not listed,Not listed,M4P 0A5
"$$899,000",#605 -2 A Church St,Not listed,Not listed,Not listed
"$$789,000",#126 -1 Old Mill Dr,Not listed,Not listed,M6S 0A1
"$$725,900",#806 -105 George St,Not listed,Not listed,M5A 0L4
"$$699,900",#967 -60 Ann O'Reilly Rd,Not listed,Not listed,M2J 0C9
"$$649,000",#Ph01 -159 Wellesley St E,Not listed,Not listed,M6K 0C9
"$$629,900",#426 -36 Via Bagnato,Not listed,Not listed,M6A 0B7
"$$3,350,000",23r Atlantic Ave,Not listed,Not listed,M6K 3E7
"$$2,599,900",599 Spadina Rd,Not listed,Not listed,M5P 2X1
"$$1,999,999",61 Cameron St,Not listed,Not listed,M5T 2H1
"$$1,750,000",#106 -4750 Yonge St,Not listed,Not listed,Not listed
"$$1,688,000",140 Bogert Ave,Not listed,Not listed,M2N 1K8
"$$1,520,000",150 Harlandale Avenue,Not listed,Not listed,M2N 1P4
"$$1,500,000",176 Beechgrove Dr,Not listed,Not listed,M1E 3Z5
"$$1,500,000",65 Dewlane Dr,Not listed,Not listed,M2R 2P9
"$$1,450,000",16 Salisbury Ave,Not listed,Not listed,M4X 1C2
"$$1,420,000",91 Westrose Ave,Not listed,Not listed,M8X 2A4
"$$1,399,999",32 Vonda Ave,Not listed,Not listed,M2N 5E9
"$$1,355,990",100 Bartley Dr,Not listed,Not listed,M4A 1C5
"$$1,299,900",40 Cobham Cres,Not listed,Not listed,M4A 1V6
"$$1,299,000",Ph07-51 East Liberty St,Not listed,Not listed,M6K 3P8
"$$1,294,900",839c Oxford St,Not listed,Not listed,M8Z 0B3
"$$1,288,888",#Th#1 -62 Dan Leckie Way,Not listed,Not listed,M5V 0K1
"$$1,198,800",66 Clappison Blvd,Not listed,Not listed,M1C 2G7
"$$1,198,000",40 Monarchwood Cres,Not listed,Not listed,M3A 1H4
"$$879,000",419-12 Douro St,Not listed,Not listed,M6K 0A1
"$$869,000",#1606 -80 Western Battery Rd,Not listed,Not listed,M6K 3S1
"$$799,999",2304-980 Broadview Ave,Not listed,Not listed,M4K 3Y1
"$$799,900",#402 -90 Broadview Ave,Not listed,Not listed,M4M 3H3
"$$765,000",#609 -28 Avondale Ave,Not listed,Not listed,M2N 2T9
"$$749,000",1210-75 The Donway W,Not listed,Not listed,M3C 2E9
"$$699,000",468 Scarborough Rd,Not listed,Not listed,M4E 3N2
"$$689,900",412-300 Manitoba St,Not listed,Not listed,M8Y 4G6
"$$670,000",2405-170 Bayview Ave,Not listed,Not listed,M5A 0M4
"$$668,000",#417 -30 Roehampton Ave,Not listed,Not listed,M4P 0B9
"$

$849,000
            
        
        
            
            
        
    

",#511 -20 Guildwood Pkwy,Not listed,Not listed,M1E 5B6
"$

$849,000
            
        
        
            
            
        
    

",#404 -65 Annie Craig Unit Dr,Not listed,Not listed,M8V 0C4
"$

$829,990
            
        
        
            
            
        
    

",#201 -408 Browns Line,Not listed,Not listed,M5W 3T9
"$

$818,000
            
        
        
            
            
        
    

",#1801 -16 Bonnycastle St,Not listed,Not listed,M5A 4M6
"$

$799,900
            
        
        
            
            
        
    

",353 Boon Ave,Not listed,Not listed,M6E 4A4
"$

$799,000
            
        
        
            
            
        
    

",#3105 -4968 Yone St,Not listed,Not listed,M2N 5N7
"$

$799,000
            
        
        
            
            
        
    

",80a Coxwell Ave,Not listed,Not listed,M4L 3A7
"$

$789,000
            
        
        
            
            
        
    

",#126 -1 Old Mill Dr,Not listed,Not listed,M6S 0A1
"$

$779,000
            
        
        
            
            
        
    

",#1639 -111 Elizabeth St,Not listed,Not listed,M5G 1P7
"$

$769,000
            
        
        
            
            
        
    

",#718 -560 Front St W,Not listed,Not listed,M5V 1C1
"$

$749,900
            
        
        
            
            
        
    

",#610 -15 Bruyeres Mews,Not listed,Not listed,M5V 0A7
"$

$738,000
            
        
        
            
            
        
    

",#1048 -10 Capreol Crt,Not listed,Not listed,M5V 3Z7
"$

$725,900
            
        
        
            
            
        
    

",#806 -105 George St,Not listed,Not listed,M5A 0L4
"$

$724,900
            
        
        
            
            
        
    

",#1209 -205 Sherway Gardens Rd,Not listed,Not listed,M9C 0A5
"$

$708,371
            
        
        
            
            
        
    

",#819 -9 Mabelle  Ave,Not listed,Not listed,M9A 0E1
"$

$699,900
            
        
        
            
            
        
    

",#967 -60 Ann O'Reilly Rd,Not listed,Not listed,M2J 0C9
"$

$699,000
            
        
        
            
            
        
    

",#1006 -1055 Bay St,Not listed,Not listed,M5S 3A3
"$

$689,000
            
        
        
            
            
        
    

",#1001 -87 Peter St,Not listed,Not listed,M5V 2G4
"$

$688,800
            
        
        
            
            
        
    

",#2402 -151 Village Green Sq,Not listed,Not listed,M1S 0K5
"$

$649,000
            
        
        
            
            
        
    

",#407 -19 Barberry Pl,Not listed,Not listed,M2K 3E3
"$

$649,000
            
        
        
            
            
        
    

",#Ph01 -159 Wellesley St E,Not listed,Not listed,M6K 0C9
"$

$640,000
            
        
        
            
            
        
    

",115 Blue Jays Way,Not listed,Not listed,M5V 3T3
